"Factor","ONTOLOGY","TERM","N","DE","P.DE","FDR"
"Factor_2","CC","cytoskeleton",525,80,1.60730492250307e-07,0.0024058140080026
"Factor_4","BP","multicellular organism development",1103,133,1.15186723946723e-07,0.00112014377401612
"Factor_4","BP","anatomical structure morphogenesis",687,88,2.26096003208097e-05,0.0483457853716971
"Factor_4","BP","tissue development",475,66,1.05750307553593e-05,0.0263811767243696
"Factor_4","BP","developmental process",1451,158,6.72842546271772e-07,0.00201422144651918
"Factor_4","BP","animal organ development",698,93,4.40677345073486e-07,0.00164901462526498
"Factor_4","BP","system development",965,120,1.78569861478453e-07,0.00112014377401612
"Factor_4","BP","anatomical structure development",1355,152,2.24507704572979e-07,0.00112014377401612
"Factor_7","CC","cornified envelope",9,7,5.3597681106388e-08,5.73035779143154e-05
"Factor_7","MF","transmembrane signaling receptor activity",178,36,9.35932285334109e-11,1.16741953724008e-07
"Factor_7","MF","G protein-coupled receptor activity",87,23,9.86506584244021e-10,1.13584850407419e-06
"Factor_7","MF","olfactory receptor activity",19,15,2.39799318479955e-15,3.58931619900796e-11
"Factor_7","MF","monoatomic ion channel activity",89,17,3.47474368730621e-05,0.0133358880798972
"Factor_7","MF","extracellular ligand-gated monoatomic ion channel activity",13,6,0.000115360388174195,0.0338571429449284
"Factor_7","MF","odorant binding",9,7,1.83809612418756e-07,0.000183417485245596
"Factor_7","CC","plasma membrane",1126,102,2.87677980745406e-07,0.000269122750987327
"Factor_7","BP","monoatomic ion transport",271,36,3.773889189032e-06,0.00220510542064931
"Factor_7","BP","humoral immune response",41,11,1.67507317571649e-05,0.00790738090302933
"Factor_7","BP","G protein-coupled receptor signaling pathway",174,26,1.37853241774545e-05,0.00687795774293797
"Factor_7","BP","sensory perception",116,22,1.51015002667021e-06,0.00118968029469472
"Factor_7","BP","sensory perception of chemical stimulus",30,16,3.84960048285955e-12,7.20260250343023e-09
"Factor_7","BP","sensory perception of smell",25,16,6.43621771785322e-14,1.92674613601654e-10
"Factor_7","CC","voltage-gated potassium channel complex",21,8,4.77997589110966e-05,0.0178866697845323
"Factor_7","BP","epidermis development",75,14,0.000140157118335741,0.039582485797158
