"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Factor","Score"
"GO:0015711","organic anion transport","56/418","443/18870",1.71960320259969e-26,5.94122906498193e-23,5.08821537106077e-23,"SLC22A6/SLC5A12/SLC17A3/SLC10A2/SLC39A5/SLC6A19/SLC22A11/SLC2A2/CYP4A11/SLC7A9/SLC22A12/SLC17A1/SLC22A8/PLA2G12B/ACE2/LRP2/ABCC2/SLC17A4/SLC22A7/SLC16A9/FABP1/GLTPD2/SLC23A3/SLC23A1/SLC22A13/SLC27A2/CYP4F2/SLC36A2/SLC47A1/SLC6A13/AGXT/SLC7A7/RBP5/SLC6A18/SLC26A9/ABCC6/SLC22A24/MGST1/SLC13A3/SLC13A2/SLC17A2/APOE/KMO/SLC4A11/SLC2A9/SLC22A4/SLC5A8/SLC4A4/ABAT/SLC26A1/SLC22A3/SLC22A2/SLC1A1/SLC25A42/SLCO1A2/SLC26A4",56,"Factor_1",22.2261237030113
"GO:0009953","dorsal/ventral pattern formation","11/306","97/18870",4.91328209828169e-07,0.00142190383924272,0.00140468149251927,"MKS1/ARL13B/PROP1/SIX3/RFX4/LHX2/FOXG1/HOXD11/NKX2-1/FOXA1/HOXA11",11,"Factor_10",2.84712977315504
"GO:0002181","cytoplasmic translation","22/404","156/18870",2.56411242495883e-12,1.01231158537375e-08,8.78275982191161e-09,"RPL35/RPL22L1/RPL18/RPS18/RPL39/IGF2BP1/RPL28/RPL36/RPS6/RPL27/RPS14/RPL24/RPL12/RPL29/RPS5/RPS15/RPL36A/RPS21/RPS10/RPL13/RPS15A/RPS19",22,"Factor_11",7.99468579285108
"GO:0006935","chemotaxis","45/413","468/18870",6.38874546419428e-17,1.4986426749325e-13,1.21447972838931e-13,"S100A9/FPR1/FPR2/CXADR/CXCL1/IL6/S100A12/CXCL6/CXCL2/FOSL1/CXCL3/CCL2/CTSG/S100A8/CCL7/IL1B/CXCR1/CXCL5/C5AR1/TREM1/ADAM8/NEDD9/PLAUR/PTPRO/FPR3/TYMP/PIK3C2G/SFTPD/L1CAM/PTAFR/CCL20/CCL13/FFAR2/EDN2/CCR7/NRG1/EDN3/PLXNA4/SEMA4B/CXCR2/NR4A1/CCR1/TUBB2B/DOCK2/CCL22",45,"Factor_12",12.8243019047128
"GO:0042330","taxis","45/413","470/18870",7.51387653513414e-17,1.4986426749325e-13,1.21447972838931e-13,"S100A9/FPR1/FPR2/CXADR/CXCL1/IL6/S100A12/CXCL6/CXCL2/FOSL1/CXCL3/CCL2/CTSG/S100A8/CCL7/IL1B/CXCR1/CXCL5/C5AR1/TREM1/ADAM8/NEDD9/PLAUR/PTPRO/FPR3/TYMP/PIK3C2G/SFTPD/L1CAM/PTAFR/CCL20/CCL13/FFAR2/EDN2/CCR7/NRG1/EDN3/PLXNA4/SEMA4B/CXCR2/NR4A1/CCR1/TUBB2B/DOCK2/CCL22",45,"Factor_12",12.8243019047128
"GO:0006119","oxidative phosphorylation","18/370","148/18870",7.37863693127995e-10,2.70574616270036e-06,2.56310546033935e-06,"NDUFA3/NDUFB7/NDUFS8/COX7A1/NDUFA13/NDUFS7/NUPR1/NDUFA11/COX4I2/CHCHD10/UQCRQ/NDUFA2/COX5B/NDUFS6/COX4I1/NDUFA7/COX6A2/COX6A1",18,"Factor_14",5.56771294879879
"GO:0050863","regulation of T cell activation","74/437","381/18870",6.13346710633581e-47,2.17186070235351e-43,1.58824516648275e-43,"PLA2G2D/SIRPG/CD27/CCL19/TNFRSF9/TIGIT/SIT1/CD3E/CD2/IRF4/CRTAM/ICOS/VNN1/CCL5/IFNG/IL20RB/HLA-DOB/CD70/LAG3/CCL21/CD5/SLAMF1/CTLA4/RHOH/LILRB4/LAX1/BATF/CD6/IL7R/CR1/CCR2/TNFSF13B/NCKAP1L/IL2RA/PTPN22/CD28/HAVCR2/IL12RB1/ZAP70/XCL1/ZNF683/PTPRC/VAV1/FOXP3/RAC2/NOD2/SASH3/FCGR2B/CORO1A/TNFSF14/KLRK1/CCR7/IL2RG/CD40LG/SPN/LAT/HLA-DQA2/CARD11/TOX/HLA-DQA1/RUNX3/VSIG4/CD86/AIF1/TNFSF8/LAPTM5/LCK/HLA-DQB2/FCHO1/HHLA2/ADAM8/EBI3/TNFAIP8L2/HLA-DOA",74,"Factor_2",42.6631680327384
"GO:0006814","sodium ion transport","25/419","248/18870",3.21636731393067e-10,1.23572832201216e-06,1.02009628598664e-06,"SLC6A3/ATP6V1B1/CLCNKB/SLC13A3/SLC12A3/SLC4A9/SLC38A3/SLC5A2/SLC9A2/HCN2/HECW1/KLHL3/SLC34A1/SCN7A/SLC34A3/SLC6A2/SLC6A17/SLC9A4/SCN2A/SLC5A8/EDN1/SPTBN4/SLC6A4/SCNN1A/NOS1",25,"Factor_3",5.90807699948995
"GO:0030198","extracellular matrix organization","60/444","321/18870",1.3237067754786e-36,2.31325819506988e-33,1.69555726402353e-33,"SFRP2/FAP/ELN/MYH11/COL14A1/COMP/LUM/POSTN/MFAP4/PDGFRA/OLFML2A/COL15A1/COL3A1/COL1A1/MMP16/COL5A1/COL1A2/SMOC2/FLRT2/SULF1/ADAMTS4/FOXC2/ITGA8/COL13A1/EMILIN1/COL5A3/DDR2/COL8A1/COL12A1/HAS2/TNXB/COL5A2/DPT/MMP28/AEBP1/ADAMTS12/COL11A1/COL4A1/LAMA2/MMP2/FBLN5/CRISPLD2/TPSAB1/GREM1/CCDC80/ANTXR1/RXFP1/TIE1/NID2/ADAMTSL2/OLFML2B/ECM2/COL16A1/NID1/FBLN1/ADAMTS2/ADAMTS7/COL10A1/LOX/HMCN1",60,"Factor_4",32.6357758906033
"GO:0043062","extracellular structure organization","60/444","322/18870",1.59378009031035e-36,2.31325819506988e-33,1.69555726402353e-33,"SFRP2/FAP/ELN/MYH11/COL14A1/COMP/LUM/POSTN/MFAP4/PDGFRA/OLFML2A/COL15A1/COL3A1/COL1A1/MMP16/COL5A1/COL1A2/SMOC2/FLRT2/SULF1/ADAMTS4/FOXC2/ITGA8/COL13A1/EMILIN1/COL5A3/DDR2/COL8A1/COL12A1/HAS2/TNXB/COL5A2/DPT/MMP28/AEBP1/ADAMTS12/COL11A1/COL4A1/LAMA2/MMP2/FBLN5/CRISPLD2/TPSAB1/GREM1/CCDC80/ANTXR1/RXFP1/TIE1/NID2/ADAMTSL2/OLFML2B/ECM2/COL16A1/NID1/FBLN1/ADAMTS2/ADAMTS7/COL10A1/LOX/HMCN1",60,"Factor_4",32.6357758906033
