Factor,View,Feature_Name,Raw_Weight,Absolute_Weight,Rank
Factor_1,CNV,SLC45A4_cnv,-1.1091378796006264e-07,1.1091378796006264e-07,1
Factor_1,CNV,RNA5SP278_cnv,-1.1091378796006264e-07,1.1091378796006264e-07,2
Factor_1,CNV,PTK2_cnv,-1.1091378796006264e-07,1.1091378796006264e-07,3
Factor_1,CNV,MIR151A_cnv,-1.1091378796006264e-07,1.1091378796006264e-07,4
Factor_1,CNV,DENND3_cnv,-1.1091378796006264e-07,1.1091378796006264e-07,5
Factor_1,CNV,AGO2_cnv,-1.1091378796006264e-07,1.1091378796006264e-07,6
Factor_1,CNV,KCNK9_cnv,-1.1091378796006264e-07,1.1091378796006264e-07,7
Factor_1,CNV,SCRIB_cnv,-1.0937650685558224e-07,1.0937650685558224e-07,8
Factor_1,CNV,SPATC1_cnv,-1.0937650685558224e-07,1.0937650685558224e-07,9
Factor_1,CNV,MIR661_cnv,-1.0937650685558224e-07,1.0937650685558224e-07,10
Factor_1,CNV,PARP10_cnv,-1.0937650685558224e-07,1.0937650685558224e-07,11
Factor_1,CNV,GRINA_cnv,-1.0937650685558224e-07,1.0937650685558224e-07,12
Factor_1,CNV,OPLAH_cnv,-1.0937650685558224e-07,1.0937650685558224e-07,13
Factor_1,CNV,EPPK1_cnv,-1.0937650685558224e-07,1.0937650685558224e-07,14
Factor_1,CNV,EXOSC4_cnv,-1.0937650685558224e-07,1.0937650685558224e-07,15
Factor_1,CNV,MAFA_cnv,-1.0937650685558224e-07,1.0937650685558224e-07,16
Factor_1,CNV,RHPN1_cnv,-1.0937650685558224e-07,1.0937650685558224e-07,17
Factor_1,CNV,TOP1MT_cnv,-1.0937650685558224e-07,1.0937650685558224e-07,18
Factor_1,CNV,ZNF696_cnv,-1.0937650685558224e-07,1.0937650685558224e-07,19
Factor_1,CNV,GLI4_cnv,-1.0937650685558224e-07,1.0937650685558224e-07,20
Factor_1,CNV,ZFP41_cnv,-1.0937650685558224e-07,1.0937650685558224e-07,21
Factor_1,CNV,GPIHBP1_cnv,-1.0937650685558224e-07,1.0937650685558224e-07,22
Factor_1,CNV,LY6H_cnv,-1.0937650685558224e-07,1.0937650685558224e-07,23
Factor_1,CNV,PLEC_cnv,-1.0937650685558224e-07,1.0937650685558224e-07,24
Factor_1,CNV,ZC3H3_cnv,-1.0937650685558224e-07,1.0937650685558224e-07,25
Factor_1,CNV,NRBP2_cnv,-1.0937650685558224e-07,1.0937650685558224e-07,26
Factor_1,CNV,ZNF623_cnv,-1.0937650685558224e-07,1.0937650685558224e-07,27
Factor_1,CNV,MROH6_cnv,-1.0937650685558224e-07,1.0937650685558224e-07,28
Factor_1,CNV,EEF1D_cnv,-1.0937650685558224e-07,1.0937650685558224e-07,29
Factor_1,CNV,NAPRT1_cnv,-1.0937650685558224e-07,1.0937650685558224e-07,30
Factor_1,CNV,TIGD5_cnv,-1.0937650685558224e-07,1.0937650685558224e-07,31
Factor_1,CNV,PYCRL_cnv,-1.0937650685558224e-07,1.0937650685558224e-07,32
Factor_1,CNV,TSTA3_cnv,-1.0937650685558224e-07,1.0937650685558224e-07,33
Factor_1,CNV,CCDC166_cnv,-1.0937650685558224e-07,1.0937650685558224e-07,34
Factor_1,CNV,PUF60_cnv,-1.0937650685558224e-07,1.0937650685558224e-07,35
Factor_1,CNV,FAM83H_cnv,-1.0937650685558224e-07,1.0937650685558224e-07,36
Factor_1,CNV,MAPK15_cnv,-1.0937650685558224e-07,1.0937650685558224e-07,37
Factor_1,CNV,MIR4664_cnv,-1.0937650685558224e-07,1.0937650685558224e-07,38
Factor_1,CNV,ZNF707_cnv,-1.0937650685558224e-07,1.0937650685558224e-07,39
Factor_1,CNV,LY6E_cnv,-1.0937650685558224e-07,1.0937650685558224e-07,40
Factor_1,CNV,MIR937_cnv,-1.0937650685558224e-07,1.0937650685558224e-07,41
Factor_1,CNV,C8orf31_cnv,-1.0937650685558224e-07,1.0937650685558224e-07,42
Factor_1,CNV,GML_cnv,-1.0937650685558224e-07,1.0937650685558224e-07,43
Factor_1,CNV,GSDMD_cnv,-1.0937650685558224e-07,1.0937650685558224e-07,44
Factor_1,CNV,THEM6_cnv,-1.0937650685558224e-07,1.0937650685558224e-07,45
Factor_1,CNV,CHRAC1_cnv,-1.0937650685558224e-07,1.0937650685558224e-07,46
Factor_1,CNV,CASC7_cnv,-1.0937650685558224e-07,1.0937650685558224e-07,47
Factor_1,CNV,C8orf17_cnv,-1.0937650685558224e-07,1.0937650685558224e-07,48
Factor_1,CNV,JRK_cnv,-1.0937650685558224e-07,1.0937650685558224e-07,49
Factor_1,CNV,PSCA_cnv,-1.0937650685558224e-07,1.0937650685558224e-07,50
Factor_1,CNV,LY6K_cnv,-1.0937650685558224e-07,1.0937650685558224e-07,51
Factor_1,CNV,CYP11B2_cnv,-1.0937650685558224e-07,1.0937650685558224e-07,52
Factor_1,CNV,SLURP1_cnv,-1.0937650685558224e-07,1.0937650685558224e-07,53
Factor_1,CNV,LYPD2_cnv,-1.0937650685558224e-07,1.0937650685558224e-07,54
Factor_1,CNV,LY6D_cnv,-1.0937650685558224e-07,1.0937650685558224e-07,55
Factor_1,CNV,LYNX1_cnv,-1.0937650685558224e-07,1.0937650685558224e-07,56
Factor_1,CNV,7SK|ENSG00000254144.2_cnv,-1.0937650685558224e-07,1.0937650685558224e-07,57
Factor_1,CNV,CYP11B1_cnv,-1.0937650685558224e-07,1.0937650685558224e-07,58
Factor_1,CNV,NSMCE2_cnv,-9.87428741421635e-08,9.87428741421635e-08,59
Factor_1,CNV,KIAA0196_cnv,-9.87428741421635e-08,9.87428741421635e-08,60
Factor_1,CNV,ZFAT_cnv,-9.605567803261808e-08,9.605567803261808e-08,61
Factor_1,CNV,ASAP1_cnv,-9.122048775894883e-08,9.122048775894883e-08,62
Factor_1,CNV,MIR5194_cnv,-9.122048775894883e-08,9.122048775894883e-08,63
