probe,status
cg01989731,removed_high_na
cg25970726,removed_high_na
cg25428494,removed_high_na
cg18425908,removed_high_na
cg19698294,removed_high_na
cg13413387,removed_high_na
cg19599226,removed_high_na
cg06671842,removed_high_na
cg20496896,removed_high_na
cg24494262,removed_high_na
cg23696955,removed_high_na
cg01532284,removed_high_na
cg04910505,removed_high_na
cg01982637,removed_high_na
cg10916702,removed_high_na
cg20033082,removed_high_na
cg19269520,removed_high_na
cg20255284,removed_high_na
cg17065810,removed_high_na
cg10584271,removed_high_na
cg24702040,removed_high_na
cg03982074,removed_high_na
cg20412698,removed_high_na
cg23319790,removed_high_na
cg24233211,removed_high_na
cg11942086,removed_high_na
cg14872707,removed_high_na
cg01648556,removed_high_na
cg22238304,removed_high_na
cg02217616,removed_high_na
cg20980303,removed_high_na
cg02059823,removed_high_na
cg04529865,removed_high_na
cg06566615,removed_high_na
cg03239258,removed_high_na
cg05891094,removed_high_na
cg19464876,removed_high_na
cg02023042,removed_high_na
cg08310519,removed_high_na
cg25257018,removed_high_na
cg06436510,removed_high_na
cg21566513,removed_high_na
cg15909006,removed_high_na
cg23844115,removed_high_na
cg07366848,removed_high_na
cg05261759,removed_high_na
cg26534460,removed_high_na
cg02144050,removed_high_na
cg12930896,removed_high_na
cg00178790,removed_high_na
cg08100536,removed_high_na
cg27120125,removed_high_na
cg11988985,removed_high_na
cg03850426,removed_high_na
cg18902440,removed_high_na
cg00137209,removed_high_na
ch.13.233184R,removed_high_na
cg10328513,removed_high_na
cg09888183,removed_high_na
cg24639969,removed_high_na
cg18024904,removed_high_na
cg19705564,removed_high_na
cg22681190,removed_high_na
cg00368924,removed_high_na
cg08866608,removed_high_na
cg24048283,removed_high_na
cg23636682,removed_high_na
cg18444757,removed_high_na
cg03533561,removed_high_na
cg02105472,removed_high_na
cg12163646,removed_high_na
ch.8.54249749F,removed_high_na
cg22700505,removed_high_na
cg19087888,removed_high_na
cg25228870,removed_high_na
cg07151047,removed_high_na
cg27505193,removed_high_na
cg04985020,removed_high_na
cg03054162,removed_high_na
cg06966040,removed_high_na
ch.12.2352423F,removed_high_na
cg17852744,removed_high_na
cg10210909,removed_high_na
cg00637802,removed_high_na
cg19442920,removed_high_na
cg04952694,removed_high_na
cg02397428,removed_high_na
cg18533237,removed_high_na
cg09471343,removed_high_na
cg07596568,removed_high_na
cg22996768,removed_high_na
cg02670466,removed_high_na
cg07091392,removed_high_na
cg09050048,removed_high_na
cg04098023,removed_high_na
cg17778722,removed_high_na
cg02761866,removed_high_na
cg27576136,removed_high_na
cg00961446,removed_high_na
cg01016465,removed_high_na
cg18861827,removed_high_na
cg06649044,removed_high_na
ch.15.1538350R,removed_high_na
cg08237418,removed_high_na
cg17603219,removed_high_na
cg18168751,removed_high_na
cg13108852,removed_high_na
cg09088965,removed_high_na
cg24895779,removed_high_na
cg02502233,removed_high_na
cg20351189,removed_high_na
cg25950728,removed_high_na
cg08071329,removed_high_na
cg24537993,removed_high_na
cg08079136,removed_high_na
cg23257564,removed_high_na
cg23257561,removed_high_na
cg10032131,removed_high_na
cg16335566,removed_high_na
cg14194634,removed_high_na
cg18500906,removed_high_na
cg18023251,removed_high_na
cg06069206,removed_high_na
cg09226198,removed_high_na
cg15993841,removed_high_na
cg23806621,removed_high_na
cg03791799,removed_high_na
cg13793478,removed_high_na
cg18152276,removed_high_na
cg13913475,removed_high_na
cg17217296,removed_high_na
cg16354932,removed_high_na
cg19892758,removed_high_na
cg20676760,removed_high_na
cg08202827,removed_high_na
cg05787106,removed_high_na
cg15176874,removed_high_na
cg12157194,removed_high_na
cg25958450,removed_high_na
cg15262515,removed_high_na
cg02367992,removed_high_na
cg17385483,removed_high_na
cg25344142,removed_high_na
cg05705813,removed_high_na
cg22231070,removed_high_na
cg08359751,removed_high_na
cg19604896,removed_high_na
cg20117477,removed_high_na
cg19356854,removed_high_na
cg07872608,removed_high_na
cg20013688,removed_high_na
cg03877767,removed_high_na
cg22971720,removed_high_na
cg19218082,removed_high_na
cg02538774,removed_high_na
cg02538772,removed_high_na
cg18439833,removed_high_na
cg00412294,removed_high_na
cg08318587,removed_high_na
cg20862283,removed_high_na
cg22870710,removed_high_na
cg25851488,removed_high_na
cg26068180,removed_high_na
cg11231715,removed_high_na
cg11702351,removed_high_na
cg25054736,removed_high_na
cg00595356,removed_high_na
cg08248600,removed_high_na
cg06471744,removed_high_na
cg17479999,removed_high_na
cg24654228,removed_high_na
cg08150470,removed_high_na
cg10316026,removed_high_na
cg06585403,removed_high_na
cg10485768,removed_high_na
cg11289591,removed_high_na
cg25376032,removed_high_na
cg18416919,removed_high_na
cg09186748,removed_high_na
cg08357947,removed_high_na
cg15044252,removed_high_na
cg15135264,removed_high_na
cg04947136,removed_high_na
cg08386537,removed_high_na
cg27491224,removed_high_na
cg20655113,removed_high_na
cg04945335,removed_high_na
cg17696517,removed_high_na
cg14011789,removed_high_na
cg08861825,removed_high_na
cg04553355,removed_high_na
cg19717768,removed_high_na
cg24123355,removed_high_na
cg11837534,removed_high_na
cg08322448,removed_high_na
cg07621697,removed_high_na
cg09451434,removed_high_na
cg11908762,removed_high_na
cg12812834,removed_high_na
cg22629515,removed_high_na
cg13637899,removed_high_na
cg17820495,removed_high_na
cg01883051,removed_high_na
cg16136079,removed_high_na
cg02046562,removed_high_na
cg11399590,removed_high_na
cg11869499,removed_high_na
cg14021192,removed_high_na
cg11543393,removed_high_na
cg13311832,removed_high_na
cg23505890,removed_high_na
cg01735890,removed_high_na
cg11417029,removed_high_na
cg10874402,removed_high_na
cg10408410,removed_high_na
cg13932046,removed_high_na
ch.1.194336624R,removed_high_na
cg15491047,removed_high_na
cg04211501,removed_high_na
cg18472699,removed_high_na
cg19579217,removed_high_na
cg18601578,removed_high_na
cg05347948,removed_high_na
cg13660163,removed_high_na
cg22677240,removed_high_na
cg13551841,removed_high_na
cg11069695,removed_high_na
cg05428299,removed_high_na
cg26160196,removed_high_na
cg08009487,removed_high_na
cg25554283,removed_high_na
cg09873215,removed_high_na
cg13100182,removed_high_na
cg03763769,removed_high_na
cg26055718,removed_high_na
cg14500913,removed_high_na
cg09045574,removed_high_na
cg01233215,removed_high_na
cg05990479,removed_high_na
cg11030124,removed_high_na
cg02802309,removed_high_na
cg19807694,removed_high_na
ch.7.3333777R,removed_high_na
cg20475304,removed_high_na
cg05239163,removed_high_na
cg21039631,removed_high_na
cg03272499,removed_high_na
cg10886493,removed_high_na
cg04293325,removed_high_na
cg27337277,removed_high_na
cg03997970,removed_high_na
ch.10.80061816F,removed_high_na
cg13815971,removed_high_na
cg15470705,removed_high_na
cg19175314,removed_high_na
cg19819912,removed_high_na
cg02051239,removed_high_na
cg22823038,removed_high_na
cg22899037,removed_high_na
cg03916225,removed_high_na
cg05171921,removed_high_na
cg00894449,removed_high_na
cg21559117,removed_high_na
cg08161138,removed_high_na
cg06540908,removed_high_na
cg25323888,removed_high_na
cg08787802,removed_high_na
cg08882650,removed_high_na
cg25155053,removed_high_na
cg01021487,removed_high_na
cg00912746,removed_high_na
cg21861953,removed_high_na
cg08945718,removed_high_na
cg11965936,removed_high_na
cg10769535,removed_high_na
cg10024508,removed_high_na
cg01654519,removed_high_na
cg01775514,removed_high_na
cg27545697,removed_high_na
cg10449329,removed_high_na
cg01848115,removed_high_na
cg13117582,removed_high_na
cg20049422,removed_high_na
cg23736895,removed_high_na
cg23544007,removed_high_na
cg08180553,removed_high_na
cg19670610,removed_high_na
cg09623712,removed_high_na
cg19392396,removed_high_na
cg27542314,removed_high_na
cg06964816,removed_high_na
cg18514595,removed_high_na
cg05590451,removed_high_na
cg06678548,removed_high_na
cg07063348,removed_high_na
cg05580809,removed_high_na
cg08639523,removed_high_na
cg26134629,removed_high_na
cg18412326,removed_high_na
cg18670846,removed_high_na
cg09888186,removed_high_na
cg19678259,removed_high_na
cg23301740,removed_high_na
cg05775032,removed_high_na
cg10945881,removed_high_na
cg11850276,removed_high_na
cg16375550,removed_high_na
cg02221765,removed_high_na
cg00470117,removed_high_na
cg03331123,removed_high_na
cg13980410,removed_high_na
cg20491785,removed_high_na
cg03471593,removed_high_na
cg14215186,removed_high_na
cg22272911,removed_high_na
cg02015027,removed_high_na
cg09813248,removed_high_na
cg22311007,removed_high_na
cg16042006,removed_high_na
cg04203853,removed_high_na
cg21160290,removed_high_na
cg26787204,removed_high_na
cg03526614,removed_high_na
cg17222033,removed_high_na
cg27058077,removed_high_na
cg20875427,removed_high_na
cg01165752,removed_high_na
cg20338276,removed_high_na
cg24929754,removed_high_na
cg03199366,removed_high_na
cg14844236,removed_high_na
cg13066892,removed_high_na
cg24765783,removed_high_na
cg19248673,removed_high_na
cg22048274,removed_high_na
cg22688043,removed_high_na
cg11362596,removed_high_na
cg05990101,removed_high_na
cg15580989,removed_high_na
cg00970752,removed_high_na
cg00970757,removed_high_na
cg10222549,removed_high_na
cg08496664,removed_high_na
cg16162930,removed_high_na
cg13242077,removed_high_na
cg12686314,removed_high_na
cg26726006,removed_high_na
cg22507250,removed_high_na
cg23947928,removed_high_na
cg24001801,removed_high_na
cg12138067,removed_high_na
cg09456285,removed_high_na
cg25301173,removed_high_na
cg02046881,removed_high_na
cg01544812,removed_high_na
cg02559915,removed_high_na
cg11427377,removed_high_na
cg00152340,removed_high_na
cg11877105,removed_high_na
cg07518353,removed_high_na
cg14928149,removed_high_na
cg08827764,removed_high_na
cg07114024,removed_high_na
cg07771338,removed_high_na
cg13938876,removed_high_na
cg01894743,removed_high_na
cg11351900,removed_high_na
cg19818925,removed_high_na
cg09332784,removed_high_na
cg09778963,removed_high_na
cg23057721,removed_high_na
cg24748191,removed_high_na
cg05808356,removed_high_na
cg02044621,removed_high_na
cg08340737,removed_high_na
cg26358446,removed_high_na
cg06903656,removed_high_na
cg02562387,removed_high_na
cg16514287,removed_high_na
cg24166178,removed_high_na
cg26620021,removed_high_na
cg22376269,removed_high_na
ch.11.942842R,removed_high_na
cg18057692,removed_high_na
cg06550248,removed_high_na
cg04744592,removed_high_na
cg16628039,removed_high_na
cg00321838,removed_high_na
cg23044169,removed_high_na
cg11374446,removed_high_na
cg03567117,removed_high_na
cg21231715,removed_high_na
cg05392263,removed_high_na
cg02628704,removed_high_na
cg16289491,removed_high_na
cg07680277,removed_high_na
cg05548179,removed_high_na
cg14454127,removed_high_na
cg26784913,removed_high_na
cg10277872,removed_high_na
cg02601525,removed_high_na
cg11795692,removed_high_na
cg03615063,removed_high_na
cg02309026,removed_high_na
cg06005197,removed_high_na
cg24071719,removed_high_na
cg14369777,removed_high_na
cg00694315,removed_high_na
cg04576847,removed_high_na
cg13432267,removed_high_na
cg05554718,removed_high_na
cg09306194,removed_high_na
cg10426482,removed_high_na
cg02314353,removed_high_na
cg05062889,removed_high_na
cg06723626,removed_high_na
cg07127259,removed_high_na
cg15704315,removed_high_na
cg00066668,removed_high_na
cg12966981,removed_high_na
cg02932763,removed_high_na
cg26306530,removed_high_na
cg00266902,removed_high_na
ch.1.217016503F,removed_high_na
cg03046371,removed_high_na
cg25295453,removed_high_na
cg21938718,removed_high_na
cg09825346,removed_high_na
cg13266018,removed_high_na
cg11619879,removed_high_na
cg01581763,removed_high_na
cg04363281,removed_high_na
cg06992220,removed_high_na
cg10703101,removed_high_na
cg06798661,removed_high_na
cg01150943,removed_high_na
cg06216451,removed_high_na
cg19112359,removed_high_na
cg10488267,removed_high_na
cg23777444,removed_high_na
cg10940055,removed_high_na
cg08729908,removed_high_na
cg07560305,removed_high_na
cg21468180,removed_high_na
cg06067955,removed_high_na
cg18810022,removed_high_na
cg07802063,removed_high_na
cg18030615,removed_high_na
cg23462943,removed_high_na
cg20065463,removed_high_na
cg08292919,removed_high_na
cg01784852,removed_high_na
cg18701807,removed_high_na
cg25101184,removed_high_na
cg02964602,removed_high_na
cg06864005,removed_high_na
cg19391583,removed_high_na
cg20270253,removed_high_na
cg14601416,removed_high_na
cg20017891,removed_high_na
cg24228583,removed_high_na
cg09217644,removed_high_na
cg00752099,removed_high_na
cg27514624,removed_high_na
cg08152058,removed_high_na
cg01078232,removed_high_na
cg05147262,removed_high_na
cg23800169,removed_high_na
ch.10.107354959F,removed_high_na
cg12583394,removed_high_na
cg03636437,removed_high_na
cg22552736,removed_high_na
cg15722905,removed_high_na
cg05868183,removed_high_na
cg05230942,removed_high_na
cg09074938,removed_high_na
ch.X.92543860F,removed_high_na
cg01398168,removed_high_na
cg19518503,removed_high_na
cg02284900,removed_high_na
cg03697766,removed_high_na
cg13243661,removed_high_na
cg24104387,removed_high_na
cg06718159,removed_high_na
cg05482236,removed_high_na
cg03652429,removed_high_na
cg12951094,removed_high_na
cg02840199,removed_high_na
cg23841267,removed_high_na
cg02071267,removed_high_na
cg02079455,removed_high_na
cg16096717,removed_high_na
cg11525047,removed_high_na
cg00688630,removed_high_na
cg27613016,removed_high_na
cg22999525,removed_high_na
cg27613013,removed_high_na
cg04172426,removed_high_na
cg24527466,removed_high_na
cg25180075,removed_high_na
cg02262037,removed_high_na
cg16629262,removed_high_na
cg02068486,removed_high_na
cg01412803,removed_high_na
cg05879324,removed_high_na
cg06181286,removed_high_na
ch.6.4332024F,removed_high_na
cg13742532,removed_high_na
cg11640675,removed_high_na
cg06197074,removed_high_na
cg06877224,removed_high_na
cg13353244,removed_high_na
cg07179220,removed_high_na
cg14236862,removed_high_na
cg26897025,removed_high_na
cg00120274,removed_high_na
cg06405517,removed_high_na
cg26612794,removed_high_na
cg02730678,removed_high_na
cg04906886,removed_high_na
cg08690436,removed_high_na
cg14305557,removed_high_na
cg12496455,removed_high_na
cg18282388,removed_high_na
cg16887110,removed_high_na
cg01205299,removed_high_na
cg09393551,removed_high_na
cg10919889,removed_high_na
cg01154622,removed_high_na
cg06174704,removed_high_na
cg06744726,removed_high_na
cg06309053,removed_high_na
cg01463032,removed_high_na
cg14297546,removed_high_na
cg17451046,removed_high_na
cg21560191,removed_high_na
cg09036484,removed_high_na
cg13036798,removed_high_na
cg07719261,removed_high_na
cg18849025,removed_high_na
cg20178764,removed_high_na
cg05931366,removed_high_na
cg25003697,removed_high_na
cg26190483,removed_high_na
cg05288381,removed_high_na
cg18757828,removed_high_na
cg04868072,removed_high_na
cg12799234,removed_high_na
cg03347163,removed_high_na
cg24323552,removed_high_na
cg08973217,removed_high_na
ch.3.23071816R,removed_high_na
cg18366882,removed_high_na
cg14151795,removed_high_na
cg04325632,removed_high_na
cg22352709,removed_high_na
cg06287548,removed_high_na
cg25105688,removed_high_na
cg10165474,removed_high_na
cg10238917,removed_high_na
cg08989942,removed_high_na
cg13404054,removed_high_na
cg05493495,removed_high_na
cg13641645,removed_high_na
cg22362389,removed_high_na
cg05015996,removed_high_na
cg00025680,removed_high_na
cg02158755,removed_high_na
cg23250039,removed_high_na
cg07482451,removed_high_na
cg25059445,removed_high_na
cg12101474,removed_high_na
cg16592491,removed_high_na
cg22622451,removed_high_na
cg18596139,removed_high_na
cg00570642,removed_high_na
cg04497547,removed_high_na
cg10502150,removed_high_na
cg14927724,removed_high_na
cg14237223,removed_high_na
cg25408901,removed_high_na
cg00555094,removed_high_na
cg20110284,removed_high_na
cg06100684,removed_high_na
cg18376896,removed_high_na
cg06717460,removed_high_na
cg05353590,removed_high_na
cg04708830,removed_high_na
cg03967337,removed_high_na
cg17516837,removed_high_na
cg13858136,removed_high_na
cg08772796,removed_high_na
cg26168118,removed_high_na
cg25803242,removed_high_na
cg08704623,removed_high_na
cg20882681,removed_high_na
cg20449145,removed_high_na
cg23336973,removed_high_na
cg25424600,removed_high_na
cg11516038,removed_high_na
cg06948588,removed_high_na
cg00698602,removed_high_na
cg00459913,removed_high_na
cg03998227,removed_high_na
cg20071523,removed_high_na
cg01425718,removed_high_na
cg08675521,removed_high_na
cg22430985,removed_high_na
cg00873517,removed_high_na
cg14792002,removed_high_na
cg09702010,removed_high_na
cg05207347,removed_high_na
cg17651942,removed_high_na
cg07436418,removed_high_na
cg00663686,removed_high_na
cg26337841,removed_high_na
cg04520169,removed_high_na
cg11714430,removed_high_na
cg11186266,removed_high_na
cg21683619,removed_high_na
cg00034154,removed_high_na
cg10295126,removed_high_na
cg10717480,removed_high_na
cg09745987,removed_high_na
cg11661134,removed_high_na
cg04419025,removed_high_na
cg26178272,removed_high_na
cg15514654,removed_high_na
cg06312816,removed_high_na
cg05502360,removed_high_na
cg27105890,removed_high_na
cg15003124,removed_high_na
cg24212302,removed_high_na
cg01132485,removed_high_na
cg00160777,removed_high_na
cg03122722,removed_high_na
cg06052372,removed_high_na
cg07983659,removed_high_na
cg11553308,removed_high_na
cg10349197,removed_high_na
cg06674392,removed_high_na
cg22841286,removed_high_na
cg23437704,removed_high_na
cg08819084,removed_high_na
cg07333872,removed_high_na
